Time,EducationEstablishment,Unit,Measurement,Value,Comparator,Attainment Distribution
2016,1,Tariff Points,Average Total Tariff Score,170,Real Establishment,Lowest 20%
2016,1,Tariff Points,Average Total Tariff Score,838,Real Establishment,Middle 60%
2016,1,Tariff Points,Average Total Tariff Score,1822,Real Establishment,Highest 20%
2016,100,Tariff Points,Average Total Tariff Score,138,Real Establishment,Lowest 20%
2016,100,Tariff Points,Average Total Tariff Score,779,Real Establishment,Middle 60%
2016,100,Tariff Points,Average Total Tariff Score,1816,Real Establishment,Highest 20%
2016,100,Tariff Points,Average Total Tariff Score,148,Virtual Comparator,Lowest 20%
2016,100,Tariff Points,Average Total Tariff Score,806,Virtual Comparator,Middle 60%
2016,100,Tariff Points,Average Total Tariff Score,1873,Virtual Comparator,Highest 20%
2016,110,Tariff Points,Average Total Tariff Score,193,Real Establishment,Lowest 20%
2016,110,Tariff Points,Average Total Tariff Score,833,Real Establishment,Middle 60%
2016,110,Tariff Points,Average Total Tariff Score,1859,Real Establishment,Highest 20%
2016,110,Tariff Points,Average Total Tariff Score,166,Virtual Comparator,Lowest 20%
2016,110,Tariff Points,Average Total Tariff Score,814,Virtual Comparator,Middle 60%
2016,110,Tariff Points,Average Total Tariff Score,1840,Virtual Comparator,Highest 20%
2016,120,Tariff Points,Average Total Tariff Score,164,Real Establishment,Lowest 20%
2016,120,Tariff Points,Average Total Tariff Score,763,Real Establishment,Middle 60%
2016,120,Tariff Points,Average Total Tariff Score,1681,Real Establishment,Highest 20%
2016,120,Tariff Points,Average Total Tariff Score,154,Virtual Comparator,Lowest 20%
2016,120,Tariff Points,Average Total Tariff Score,783,Virtual Comparator,Middle 60%
2016,120,Tariff Points,Average Total Tariff Score,1815,Virtual Comparator,Highest 20%
2016,130,Tariff Points,Average Total Tariff Score,178,Real Establishment,Lowest 20%
2016,130,Tariff Points,Average Total Tariff Score,848,Real Establishment,Middle 60%
2016,130,Tariff Points,Average Total Tariff Score,1746,Real Establishment,Highest 20%
2016,130,Tariff Points,Average Total Tariff Score,232,Virtual Comparator,Lowest 20%
2016,130,Tariff Points,Average Total Tariff Score,951,Virtual Comparator,Middle 60%
2016,130,Tariff Points,Average Total Tariff Score,1844,Virtual Comparator,Highest 20%
2016,150,Tariff Points,Average Total Tariff Score,111,Real Establishment,Lowest 20%
2016,150,Tariff Points,Average Total Tariff Score,685,Real Establishment,Middle 60%
2016,150,Tariff Points,Average Total Tariff Score,1735,Real Establishment,Highest 20%
2016,150,Tariff Points,Average Total Tariff Score,118,Virtual Comparator,Lowest 20%
2016,150,Tariff Points,Average Total Tariff Score,711,Virtual Comparator,Middle 60%
2016,150,Tariff Points,Average Total Tariff Score,1697,Virtual Comparator,Highest 20%
2016,170,Tariff Points,Average Total Tariff Score,183,Real Establishment,Lowest 20%
2016,170,Tariff Points,Average Total Tariff Score,838,Real Establishment,Middle 60%
2016,170,Tariff Points,Average Total Tariff Score,1777,Real Establishment,Highest 20%
2016,170,Tariff Points,Average Total Tariff Score,171,Virtual Comparator,Lowest 20%
2016,170,Tariff Points,Average Total Tariff Score,845,Virtual Comparator,Middle 60%
2016,170,Tariff Points,Average Total Tariff Score,1822,Virtual Comparator,Highest 20%
2016,180,Tariff Points,Average Total Tariff Score,115,Real Establishment,Lowest 20%
2016,180,Tariff Points,Average Total Tariff Score,686,Real Establishment,Middle 60%
2016,180,Tariff Points,Average Total Tariff Score,1661,Real Establishment,Highest 20%
2016,180,Tariff Points,Average Total Tariff Score,129,Virtual Comparator,Lowest 20%
2016,180,Tariff Points,Average Total Tariff Score,750,Virtual Comparator,Middle 60%
2016,180,Tariff Points,Average Total Tariff Score,1780,Virtual Comparator,Highest 20%
