Date,Establishment,Value,Comparator,Attainment Distribution
2016,grp:1,170,comparator:real-establishment,distribution:lowest-20pc
2016,grp:1,838,comparator:real-establishment,distribution:middle-60pc
2016,grp:1,1822,comparator:real-establishment,distribution:highest-20pc
2016,grp:100,138,comparator:real-establishment,distribution:lowest-20pc
2016,grp:100,779,comparator:real-establishment,distribution:middle-60pc
2016,grp:100,1816,comparator:real-establishment,distribution:highest-20pc
2016,grp:100,148,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:100,806,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:100,1873,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:110,193,comparator:real-establishment,distribution:lowest-20pc
2016,grp:110,833,comparator:real-establishment,distribution:middle-60pc
2016,grp:110,1859,comparator:real-establishment,distribution:highest-20pc
2016,grp:110,166,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:110,814,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:110,1840,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:120,164,comparator:real-establishment,distribution:lowest-20pc
2016,grp:120,763,comparator:real-establishment,distribution:middle-60pc
2016,grp:120,1681,comparator:real-establishment,distribution:highest-20pc
2016,grp:120,154,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:120,783,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:120,1815,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:130,178,comparator:real-establishment,distribution:lowest-20pc
2016,grp:130,848,comparator:real-establishment,distribution:middle-60pc
2016,grp:130,1746,comparator:real-establishment,distribution:highest-20pc
2016,grp:130,232,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:130,951,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:130,1844,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:150,111,comparator:real-establishment,distribution:lowest-20pc
2016,grp:150,685,comparator:real-establishment,distribution:middle-60pc
2016,grp:150,1735,comparator:real-establishment,distribution:highest-20pc
2016,grp:150,118,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:150,711,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:150,1697,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:170,183,comparator:real-establishment,distribution:lowest-20pc
2016,grp:170,838,comparator:real-establishment,distribution:middle-60pc
2016,grp:170,1777,comparator:real-establishment,distribution:highest-20pc
2016,grp:170,171,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:170,845,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:170,1822,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:180,115,comparator:real-establishment,distribution:lowest-20pc
2016,grp:180,686,comparator:real-establishment,distribution:middle-60pc
2016,grp:180,1661,comparator:real-establishment,distribution:highest-20pc
2016,grp:180,129,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:180,750,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:180,1780,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:190,140,comparator:real-establishment,distribution:lowest-20pc
2016,grp:190,743,comparator:real-establishment,distribution:middle-60pc
2016,grp:190,1699,comparator:real-establishment,distribution:highest-20pc
2016,grp:190,137,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:190,721,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:190,1731,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:200,385,comparator:real-establishment,distribution:lowest-20pc
2016,grp:200,1264,comparator:real-establishment,distribution:middle-60pc
2016,grp:200,2087,comparator:real-establishment,distribution:highest-20pc
2016,grp:200,276,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:200,1052,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:200,1931,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:210,155,comparator:real-establishment,distribution:lowest-20pc
2016,grp:210,885,comparator:real-establishment,distribution:middle-60pc
2016,grp:210,1916,comparator:real-establishment,distribution:highest-20pc
2016,grp:210,161,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:210,884,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:210,1864,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:220,478,comparator:real-establishment,distribution:lowest-20pc
2016,grp:220,1377,comparator:real-establishment,distribution:middle-60pc
2016,grp:220,2070,comparator:real-establishment,distribution:highest-20pc
2016,grp:220,351,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:220,1152,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:220,1986,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:230,161,comparator:real-establishment,distribution:lowest-20pc
2016,grp:230,884,comparator:real-establishment,distribution:middle-60pc
2016,grp:230,1951,comparator:real-establishment,distribution:highest-20pc
2016,grp:230,188,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:230,928,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:230,1895,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:235,260,comparator:real-establishment,distribution:lowest-20pc
2016,grp:235,1028,comparator:real-establishment,distribution:middle-60pc
