Geography,Quarter,Gender,Measure Type,Unit,Value
S12000039,2017-Q1,Female,Count,People,20700
S12000039,2017-Q1,Male,Count,People,20900
S12000039,2017-Q1,All,Count,People,41500
S12000040,2017-Q1,Male,Count,People,45400
S12000040,2017-Q1,Female,Count,People,42800
S12000040,2017-Q1,All,Count,People,88300
S12000005,2017-Q1,All,Count,People,22500
S12000005,2017-Q1,Female,Count,People,10900
S12000005,2017-Q1,Male,Count,People,11600
S12000006,2017-Q1,All,Count,People,68600
S12000006,2017-Q1,Female,Count,People,31500
S12000006,2017-Q1,Male,Count,People,37100
S12000008,2017-Q1,Male,Count,People,26800
S12000008,2017-Q1,All,Count,People,51600
S12000008,2017-Q1,Female,Count,People,24800
S12000010,2017-Q1,Male,Count,People,24700
S12000010,2017-Q1,All,Count,People,49500
S12000010,2017-Q1,Female,Count,People,24900
S12000011,2017-Q1,Male,Count,People,23400
S12000011,2017-Q1,Female,Count,People,21600
S12000011,2017-Q1,All,Count,People,45000
S12000013,2017-Q1,Female,Count,People,6000
S12000013,2017-Q1,All,Count,People,12900
S12000013,2017-Q1,Male,Count,People,6900
S12000014,2017-Q1,All,Count,People,78700
S12000014,2017-Q1,Female,Count,People,36700
S12000014,2017-Q1,Male,Count,People,42000
S12000017,2017-Q1,Female,Count,People,58800
S12000017,2017-Q1,All,Count,People,119200
S12000017,2017-Q1,Male,Count,People,60400
S12000018,2017-Q1,All,Count,People,35700
S12000018,2017-Q1,Female,Count,People,18400
S12000018,2017-Q1,Male,Count,People,17400
S12000019,2017-Q1,All,Count,People,44100
S12000019,2017-Q1,Male,Count,People,22600
S12000019,2017-Q1,Female,Count,People,21500
S12000020,2017-Q1,All,Count,People,44700
S12000020,2017-Q1,Female,Count,People,20200
S12000020,2017-Q1,Male,Count,People,24400
S12000021,2017-Q1,All,Count,People,55100
S12000021,2017-Q1,Male,Count,People,28700
S12000021,2017-Q1,Female,Count,People,26300
S12000023,2017-Q1,Female,Count,People,5900
S12000023,2017-Q1,Male,Count,People,6300
S12000023,2017-Q1,All,Count,People,12200
S12000026,2017-Q1,Male,Count,People,27700
S12000026,2017-Q1,All,Count,People,52900
S12000026,2017-Q1,Female,Count,People,25200
S12000027,2017-Q1,All,Count,People,12900
S12000027,2017-Q1,Female,Count,People,6400
S12000027,2017-Q1,Male,Count,People,6400
S12000028,2017-Q1,Male,Count,People,25600
S12000028,2017-Q1,All,Count,People,50400
S12000028,2017-Q1,Female,Count,People,24800
S12000029,2017-Q1,All,Count,People,154400
S12000029,2017-Q1,Male,Count,People,81000
S12000029,2017-Q1,Female,Count,People,73400
S12000030,2017-Q1,Female,Count,People,21800
S12000030,2017-Q1,All,Count,People,44700
S12000030,2017-Q1,Male,Count,People,22900
S12000033,2017-Q1,All,Count,People,119500
S12000033,2017-Q1,Female,Count,People,55300
S12000033,2017-Q1,Male,Count,People,64200
