GeographyCode,DateCode,Measurement,Units,Value,SITC Section,Flow
K02000001,2016,Value,£ million,9448,0 Food and Live Animals,Export
K02000001,2016,Value,£ million,4965,1 Beverages and Tobacco,Export
K02000001,2016,Value,£ million,4175,2 Crude Materials,Export
K02000001,2016,Value,£ million,13627,3 Mineral Fuels,Export
K02000001,2016,Value,£ million,313,4 Animal and Vegetable Oils,Export
K02000001,2016,Value,£ million,38787,5 Chemicals,Export
K02000001,2016,Value,£ million,19329,6 Manufactured Goods,Export
K02000001,2016,Value,£ million,86417,7 Machinery and Transport,Export
K02000001,2016,Value,£ million,30239,8 Miscellaneous Manufactures,Export
K02000001,2016,Value,£ million,3720,9 Other commodities nes,Export
K02000001,2016,Value,£ million,211020,Total,Export
K02000001,2016,Value,£ million,25851,0 Food and Live Animals,Import
K02000001,2016,Value,£ million,4074,1 Beverages and Tobacco,Import
K02000001,2016,Value,£ million,6780,2 Crude Materials,Import
K02000001,2016,Value,£ million,19767,3 Mineral Fuels,Import
K02000001,2016,Value,£ million,846,4 Animal and Vegetable Oils,Import
K02000001,2016,Value,£ million,39963,5 Chemicals,Import
K02000001,2016,Value,£ million,33404,6 Manufactured Goods,Import
K02000001,2016,Value,£ million,125667,7 Machinery and Transport,Import
K02000001,2016,Value,£ million,49584,8 Miscellaneous Manufactures,Import
K02000001,2016,Value,£ million,4610,9 Other commodities nes,Import
K02000001,2016,Value,£ million,310545,Total,Import
