GeographyCode,DateCode,Measurement,Units,Value,SITC Section,Flow
K02000001,2016,value,gbp-million,9448,0-food-and-live-animals,export
K02000001,2016,value,gbp-million,4965,1-beverages-and-tobacco,export
K02000001,2016,value,gbp-million,4175,2-crude-materials,export
K02000001,2016,value,gbp-million,13627,3-mineral-fuels,export
K02000001,2016,value,gbp-million,313,4-animal-and-vegetable-oils,export
K02000001,2016,value,gbp-million,38787,5-chemicals,export
K02000001,2016,value,gbp-million,19329,6-manufactured-goods,export
K02000001,2016,value,gbp-million,86417,7-machinery-and-transport,export
K02000001,2016,value,gbp-million,30239,8-miscellaneous-manufactures,export
K02000001,2016,value,gbp-million,3720,9-other-commodities-nes,export
K02000001,2016,value,gbp-million,211020,total,export
K02000001,2016,value,gbp-million,25851,0-food-and-live-animals,import
K02000001,2016,value,gbp-million,4074,1-beverages-and-tobacco,import
K02000001,2016,value,gbp-million,6780,2-crude-materials,import
K02000001,2016,value,gbp-million,19767,3-mineral-fuels,import
K02000001,2016,value,gbp-million,846,4-animal-and-vegetable-oils,import
K02000001,2016,value,gbp-million,39963,5-chemicals,import
K02000001,2016,value,gbp-million,33404,6-manufactured-goods,import
K02000001,2016,value,gbp-million,125667,7-machinery-and-transport,import
K02000001,2016,value,gbp-million,49584,8-miscellaneous-manufactures,import
K02000001,2016,value,gbp-million,4610,9-other-commodities-nes,import
K02000001,2016,value,gbp-million,310545,total,import
K02000001,2016,net-mass,tonnes,12746731,0-food-and-live-animals,export
K02000001,2016,net-mass,tonnes,2563079,1-beverages-and-tobacco,export
K02000001,2016,net-mass,tonnes,26314803,2-crude-materials,export
K02000001,2016,net-mass,tonnes,75663143,3-mineral-fuels,export
K02000001,2016,net-mass,tonnes,521015,4-animal-and-vegetable-oils,export
K02000001,2016,net-mass,tonnes,14512235,5-chemicals,export
K02000001,2016,net-mass,tonnes,11201595,6-manufactured-goods,export
K02000001,2016,net-mass,tonnes,7528699,7-machinery-and-transport,export
K02000001,2016,net-mass,tonnes,2406032,8-miscellaneous-manufactures,export
K02000001,2016,net-mass,tonnes,1015270,9-other-commodities-nes,export
K02000001,2016,net-mass,tonnes,154472602,total,export
K02000001,2016,net-mass,tonnes,32089696,0-food-and-live-animals,import
K02000001,2016,net-mass,tonnes,4937080,1-beverages-and-tobacco,import
K02000001,2016,net-mass,tonnes,36061352,2-crude-materials,import
K02000001,2016,net-mass,tonnes,127324727,3-mineral-fuels,import
K02000001,2016,net-mass,tonnes,1394572,4-animal-and-vegetable-oils,import
K02000001,2016,net-mass,tonnes,21672646,5-chemicals,import
K02000001,2016,net-mass,tonnes,33580945,6-manufactured-goods,import
K02000001,2016,net-mass,tonnes,13384045,7-machinery-and-transport,import
K02000001,2016,net-mass,tonnes,9077073,8-miscellaneous-manufactures,import
K02000001,2016,net-mass,tonnes,22587,9-other-commodities-nes,import
K02000001,2016,net-mass,tonnes,279544723,total,import
