Label,Notation,Parent Notation
Manufacturing and maintenance services,manufacturing-and-maintenance-services,total
Transport,transport,total
Travel,travel,total
Construction,construction,total
Insurance and pension services,insurance-and-pension-services,total
Financial,financial,total
Intellectual property,intellectual-property,total
"Telecommunication, computer and information services",telecommunication-computer-and-information-services,total
Other business,other-business,total
"Personal, cultural and recreational services",personal-cultural-and-recreational-services,total
Government,government,total
Total,total,
