geography,date,sitc_section,flow,measure_type,unit,value
K02000001,2016,0-food-and-live-animals,export,gbp-total,gbp-million,9448
K02000001,2016,1-beverages-and-tobacco,export,gbp-total,gbp-million,4965
K02000001,2016,2-crude-materials,export,gbp-total,gbp-million,4175
K02000001,2016,3-mineral-fuels,export,gbp-total,gbp-million,13627
K02000001,2016,4-animal-and-vegetable-oils,export,gbp-total,gbp-million,313
K02000001,2016,5-chemicals,export,gbp-total,gbp-million,38787
K02000001,2016,6-manufactured-goods,export,gbp-total,gbp-million,19329
K02000001,2016,7-machinery-and-transport,export,gbp-total,gbp-million,86417
K02000001,2016,8-miscellaneous-manufactures,export,gbp-total,gbp-million,30239
K02000001,2016,9-other-commodities-nes,export,gbp-total,gbp-million,3720
K02000001,2016,total,export,gbp-total,gbp-million,211020
K02000001,2016,0-food-and-live-animals,import,gbp-total,gbp-million,25851
K02000001,2016,1-beverages-and-tobacco,import,gbp-total,gbp-million,4074
K02000001,2016,2-crude-materials,import,gbp-total,gbp-million,6780
K02000001,2016,3-mineral-fuels,import,gbp-total,gbp-million,19767
K02000001,2016,4-animal-and-vegetable-oils,import,gbp-total,gbp-million,846
K02000001,2016,5-chemicals,import,gbp-total,gbp-million,39963
K02000001,2016,6-manufactured-goods,import,gbp-total,gbp-million,33404
K02000001,2016,7-machinery-and-transport,import,gbp-total,gbp-million,125667
K02000001,2016,8-miscellaneous-manufactures,import,gbp-total,gbp-million,49584
K02000001,2016,9-other-commodities-nes,import,gbp-total,gbp-million,4610
K02000001,2016,total,import,gbp-total,gbp-million,310545
K02000001,2016,0-food-and-live-animals,export,net-mass,tonnes,12746731
K02000001,2016,1-beverages-and-tobacco,export,net-mass,tonnes,2563079
K02000001,2016,2-crude-materials,export,net-mass,tonnes,26314803
K02000001,2016,3-mineral-fuels,export,net-mass,tonnes,75663143
K02000001,2016,4-animal-and-vegetable-oils,export,net-mass,tonnes,521015
K02000001,2016,5-chemicals,export,net-mass,tonnes,14512235
K02000001,2016,6-manufactured-goods,export,net-mass,tonnes,11201595
K02000001,2016,7-machinery-and-transport,export,net-mass,tonnes,7528699
K02000001,2016,8-miscellaneous-manufactures,export,net-mass,tonnes,2406032
K02000001,2016,9-other-commodities-nes,export,net-mass,tonnes,1015270
K02000001,2016,total,export,net-mass,tonnes,154472602
K02000001,2016,0-food-and-live-animals,import,net-mass,tonnes,32089696
K02000001,2016,1-beverages-and-tobacco,import,net-mass,tonnes,4937080
K02000001,2016,2-crude-materials,import,net-mass,tonnes,36061352
K02000001,2016,3-mineral-fuels,import,net-mass,tonnes,127324727
K02000001,2016,4-animal-and-vegetable-oils,import,net-mass,tonnes,1394572
K02000001,2016,5-chemicals,import,net-mass,tonnes,21672646
K02000001,2016,6-manufactured-goods,import,net-mass,tonnes,33580945
K02000001,2016,7-machinery-and-transport,import,net-mass,tonnes,13384045
K02000001,2016,8-miscellaneous-manufactures,import,net-mass,tonnes,9077073
K02000001,2016,9-other-commodities-nes,import,net-mass,tonnes,22587
K02000001,2016,total,import,net-mass,tonnes,279544723
